Id,Company,Bean Origin,Review Date,Cocoa Percent,Company Location,Rating (Out of 10)
1,A. Morin,Agua Grande,2016.0,63%,France,7.1875
2,A. Morin,Kpime,2015.0,70%,France,4.9375
3,A. Morin,Atsane,2015.0,70%,France,5.5
4,A. Morin,Akata,2015.0,70%,France,6.625
5,A. Morin,Quilla,2015.0,70%,France,6.625
7,A. Morin,Cuba,2014.0,70%,France,6.625
8,A. Morin,Sur del Lago,2014.0,70%,France,6.625
9,A. Morin,Puerto Cabello,2014.0,70%,France,7.1875
10,A. Morin,Pablino,2014.0,70%,France,7.75
11,A. Morin,Panama,2013.0,70%,France,4.9375
12,A. Morin,Madagascar,2013.0,70%,France,5.5
13,A. Morin,Brazil,2013.0,70%,France,6.0625
14,A. Morin,Equateur,2013.0,70%,France,7.1875
15,A. Morin,Colombie,2013.0,70%,France,4.9375
16,A. Morin,Birmanie,2013.0,70%,France,5.5
18,A. Morin,Chuao,2013.0,70%,France,7.75
19,A. Morin,Piura,2013.0,70%,France,6.0625
20,A. Morin,Chanchamayo Province,2013.0,70%,France,6.625
21,A. Morin,Chanchamayo Province,2013.0,63%,France,7.75
22,A. Morin,Bolivia,2012.0,70%,France,6.625
23,A. Morin,Peru,2012.0,63%,France,7.1875
24,Acalli,"Chulucanas, El Platanal",2015.0,70%,U.S.A.,7.1875
25,Acalli,"Tumbes, Norandino",2015.0,70%,U.S.A.,7.1875
26,Adi,Vanua Levu,2011.0,60%,Fiji,4.9375
27,Adi,"Vanua Levu, Toto-A",2011.0,80%,Fiji,6.0625
28,Adi,Vanua Levu,2011.0,88%,Fiji,6.625
29,Adi,"Vanua Levu, Ami-Ami-CA",2011.0,72%,Fiji,6.625
30,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009.0,55%,Ecuador,4.9375
31,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",2009.0,70%,Ecuador,5.5
32,Ah Cacao,Tabasco,2009.0,70%,Mexico,5.5
33,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011.0,75%,Switzerland,7.1875
34,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010.0,75%,Switzerland,4.9375
35,Akesson's (Pralus),"Monte Alegre, D. Badero",2010.0,75%,Switzerland,4.9375
36,Alain Ducasse,Trinite,2014.0,65%,France,4.9375
37,Alain Ducasse,Vietnam,2014.0,75%,France,4.9375
38,Alain Ducasse,Madagascar,2014.0,75%,France,5.5
39,Alain Ducasse,Chuao,2013.0,75%,France,4.375
40,Alain Ducasse,"Piura, Perou",2013.0,75%,France,4.375
41,Alexandre,"Winak Coop, Napo",2017.0,70%,Netherlands,6.625
42,Alexandre,"La Dalia, Matagalpa",2017.0,70%,Netherlands,6.625
43,Alexandre,Tien Giang,2017.0,70%,Netherlands,6.625
44,Alexandre,"Makwale Village, Kyela",2017.0,70%,Netherlands,6.625
45,Altus aka Cao Artisan,Momotombo,2016.0,60%,U.S.A.,4.9375
46,Altus aka Cao Artisan,Acopagro,2016.0,60%,U.S.A.,5.5
47,Altus aka Cao Artisan,CIAAB Coop,2016.0,60%,U.S.A.,4.375
48,Altus aka Cao Artisan,Villa Andina,2016.0,60%,U.S.A.,4.375
49,Altus aka Cao Artisan,Gruppo Salinas,2016.0,60%,U.S.A.,4.9375
50,Altus aka Cao Artisan,Sur del Lago,2013.0,60%,U.S.A.,4.375
51,Altus aka Cao Artisan,Conacado,2013.0,60%,U.S.A.,5.5
52,Altus aka Cao Artisan,Bolivia,2013.0,80%,U.S.A.,6.0625
53,Altus aka Cao Artisan,Bolivia,2013.0,60%,U.S.A.,5.5
54,Altus aka Cao Artisan,Peru,2013.0,60%,U.S.A.,6.0625
55,Amano,Morobe,2011.0,70%,U.S.A.,7.75
56,Amano,Dos Rios,2010.0,70%,U.S.A.,7.1875
57,Amano,Guayas,2010.0,70%,U.S.A.,7.75
58,Amano,Chuao,2010.0,70%,U.S.A.,5.5
59,Amano,Montanya,2009.0,70%,U.S.A.,5.5
60,Amano,"Bali, Jembrana",2008.0,70%,U.S.A.,4.9375
61,Amano,Madagascar,2007.0,70%,U.S.A.,6.625
62,Amano,Cuyagua,2007.0,70%,U.S.A.,5.5
63,Amano,Ocumare,2007.0,70%,U.S.A.,7.1875
64,Amatller (Simon Coll),Ghana,2009.0,70%,Spain,5.5
65,Amatller (Simon Coll),Ecuador,2009.0,70%,Spain,4.9375
66,Amatller (Simon Coll),Ecuador,2009.0,85%,Spain,4.9375
67,Amatller (Simon Coll),Ghana,2009.0,85%,Spain,5.5
68,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",2013.0,72%,Peru,6.0625
69,Amazona,"Bellavista Gran Pajeten, San Martin",2013.0,73%,Peru,6.625
70,Ambrosia,Belize,2015.0,64%,Canada,5.5
71,Ambrosia,Madagascar,2015.0,66%,Canada,6.0625
72,Ambrosia,Dominican Republic,2015.0,75%,Canada,6.0625
73,Ambrosia,Papua New Guinea,2015.0,63%,Canada,6.0625
74,Ambrosia,Venezuela,2015.0,70%,Canada,6.0625
75,Ambrosia,Peru,2015.0,68%,Canada,6.625
76,Amedei,"Piura, Blanco de Criollo",2012.0,70%,Italy,7.1875
77,Amedei,Porcelana,2007.0,70%,Italy,7.75
78,Amedei,Nine,2007.0,75%,Italy,7.75
79,Amedei,Chuao,2007.0,70%,Italy,10.0
80,Amedei,Ecuador,2007.0,70%,Italy,5.5
81,Amedei,Jamaica,2007.0,70%,Italy,5.5
82,Amedei,Grenada,2007.0,70%,Italy,6.625
83,Amedei,Venezuela,2007.0,70%,Italy,7.1875
84,Amedei,Madagascar,2007.0,70%,Italy,7.75
85,Amedei,Trinidad,2007.0,70%,Italy,6.625
86,Amedei,Toscano Black,2007.0,63%,Italy,6.625
87,Amedei,Toscano Black,2006.0,70%,Italy,10.0
88,Amedei,Toscano Black,2006.0,66%,Italy,7.75
89,AMMA,Catongo,2013.0,75%,Brazil,6.0625
90,AMMA,"Monte Alegre, 3 diff. plantations",2010.0,85%,Brazil,4.9375
