0,2,Country of Origin,Number of Bags,Farm Name,Bag Weight,Lot Number,In-Country Partner,Mill,Harvest Year,ICO Number,Company,Owner,Altitude,Variety,Region,Status,Producer,Processing Method,Aroma,Uniformity,Flavor,Clean Cup,Aftertaste,Sweetness,Acidity,Overall,Body,Defects,Balance,Total Cup Points,Moisture,Color,Category One Defects,Category Two Defects,Quakers,Expiration,Certification Body,Certification Address,Certification Contact,Cupper Points,Grading Date
1,3,Thailand,3,Pichet Klaphithak,20 kg,TCE,Coffee Quality Institute,Big Black Box's Dry Mill Plant Sai Noi District,2023 / 2024,Grading Date,"18,Ngop, Thung Chang ,Nan, 55130",Pichet Klaphithak,1403,Gesha,"Ngop, Thung Chang, Nan",Completed,Pichet Klaphithak,Natural / Dry,8.5,10.0,8.42,10.0,8.5,10.0,8.33,8.5,8.17,0.0,8.33,88.75,10 %,Green-Yellow,0 full defects,1 full defects,0,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only,8.5,
1,3,Thailand,2,Ching Saethao,25 kg,TCE,Coffee Quality Institute,Big Black Box Dry Mill Plant,2023 / 2024,Grading Date,"145,Ngop, Thung Chang ,Nan, 55130",Ching Saethso,1350,Gesha,Nan,Completed,Ching Saethao,Pulped natural / honey,8.58,10.0,8.5,10.0,8.33,10.0,8.42,8.5,8.17,0.0,8.25,88.75,9.3 %,,0 full defects,1 full defects,0,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only,8.5,
1,3,Brazil,3,Fazenda Guariroba,10 kg,RR24009,Coffee Quality Union,Fazenda Guariroba,2023,Grading Date,ROLLING ROASTERS,ROLLING ROASTERS,1100,Gesha,Minas Gerais,Completed,Homero Aguiar Paiva,Natural Fermentation / Sundried,8.5,10.0,8.5,10.0,8.25,10.0,8.42,8.42,8.25,0.0,8.17,88.5,10.8 %,Yellow green,0 full defects,2 full defects,1,"May 6th, 2025",Coffee Quality Union,3-24-9 Saiwai Otaru Hokkaido,Sakiko Kabeyama -,8.42,
1,3,Thailand,1,Coffee De Hmong Bio Farm,10 kg,2024,Specialty Coffee Institute of Thailand,Coffee De Hmong Roaster,2019 / 2020,Grading Date,Coffee De Hmong Bio Farm,Wichai Kamnerdmongkhon,1443,Gesha,เอเชีย,Completed,Wichai kamnerdmongkon,Washed / Wet,8.67,10.0,8.5,10.0,8.33,10.0,8.0,8.42,8.08,0.0,8.33,88.33,11.2 %,,0 full defects,0 full defects,0,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492",8.42,
1,3,Thailand,2,Wichai Kamnerdmongkon,25 kg,TCE,Coffee Quality Institute,Big Black Box's Dry Mill Plant Sai Noi District,2023 / 2024,Grading Date,Coffee De Hmong Bio Farm,Wichai Kamnerdmongkhon,1445,Gesha,"Ngop, Thung Chang, Nan",Completed,Wichai Kamnerdmongkon,Washed / Wet,8.42,10.0,8.58,10.0,8.33,10.0,8.17,8.5,8.08,0.0,8.17,88.25,9.9 %,,0 full defects,1 full defects,0,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only,8.5,
1,3,Thailand,2,Napaporn Kamnoedmongkhon,25 kg,TCE,Coffee Quality Institute,Big Black Box Dry Mill Plant,2023 / 2024,Grading Date,"265,Ngop, Thung Chang ,Nan, 55130",Napaporn Kamnoedmongkhon,1445,Gesha,"Thung Chang,Nan",Completed,Napaporn Kamnoedmongkhon,Pulped natural / honey,8.33,10.0,8.42,10.0,8.33,10.0,8.25,8.42,8.08,0.0,8.25,88.08,10.2 %,,0 full defects,0 full defects,0,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only,8.42,
1,3,Thailand,2,Doi Tung Development Project,1 kg,Gesha 23/24 (Coffea Arabica),FABB Academy of Coffee,Dry Mill,2023 / 2024,Grading Date,Doi Tung Development Project,Doi Tung Development Project,1200-1580,Gesha,North of Thailand,Completed,Doi Tung Development Project,Washed / Wet,8.67,10.0,8.33,10.0,8.17,10.0,8.17,8.33,8.17,0.0,8.25,88.08,10.8 %,Green,0 full defects,1 full defects,0,"June 26th, 2025",FABB Academy of Coffee,"FABB ACADEMY OF COFFEE 259/313 SUKHUMVIT 71 RD., SOI PRIDI BANOMYONG 15, VHADANA BKK, 10110 THAILAND",Janejira Kamonsawedkun - +(66) 095 095 9593,8.33,
1,3,Ethiopia,12,KONGA,60 kg,NATURAL YIRGACHEFFE KONGA G1,METAD Agricultural Development plc,TRACON PROCESSING MILL,2023 / 2024,0230A,kebir coffee,kebir coffee,1900,Ethiopian Yirgacheffe,YIRGACHEFFE KONGA,Completed,KEBIR COFFEE,Natural / Dry,8.17,10.0,8.33,10.0,8.17,10.0,8.42,8.42,8.17,0.0,8.33,88.0,10 %,Yellow Green,0 full defects,11 full defects,7,"June 24th, 2025",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",8.42,"June 24th, 2024"
1,3,Ethiopia,6,ARICHA,60 kg,NATURAL YIRGACHEFFE ARICHA G1,METAD Agricultural Development plc,TRACON PROCESSING MILL,2023 / 2024,0231A,kebir coffee,kebir coffee,1900,Ethiopian Yirgacheffe,YIRGACHEFFE ARICHA,Completed,KEBIR COFFEE,Natural / Dry,8.08,10.0,8.42,10.0,8.17,10.0,8.42,8.25,8.33,0.0,8.25,87.92,9.9 %,Yellow Green,0 full defects,9 full defects,4,"June 24th, 2025",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",8.25,"June 24th, 2024"
1,3,Thailand,2,Wicha Saenrungarun,25 kg,TCE,Coffee Quality Institute,Big Black Box Dry Mill Plant,2023 / 2024,Grading Date,"145,Ngop, Thung Chang ,Nan, 55130",Wicha Saenrungarun,1550,Gesha,"Thung Chang, Nan",Completed,Wicha Saenrungarun,Pulped natural / honey,8.58,10.0,8.25,10.0,8.25,10.0,8.17,8.33,8.17,0.0,8.17,87.92,10.1 %,yellow green,0 full defects,4 full defects,0,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only,8.33,
