Annual precipitation,Temperature Change on Land,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Moisture,Category One Defects,Quakers,Category Two Defects,Altitude,Processing Method_Natural / Dry,Processing Method_Other,Processing Method_Pulped natural / honey,Processing Method_Semi-washed / Semi-pulped,Processing Method_Washed / Wet,Processing Method_Anaerobico 1000h,Processing Method_intrinsic cherry,Processing Method_Double Anaerobic Washed,Processing Method_Fermented in barrels with figs 4days,Processing Method_Double Carbonic Maceration / Natural,Total Yield
1905.6708,0.833,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,2,1250.0,1,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,2,1250.0,1,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,0.0,2,1300.0,1,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,0.0,2,1300.0,1,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,2,1250.0,0,0,0,1,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,2,1250.0,0,0,0,1,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,0,0.0,1,1250.0,0,0,0,1,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,0,0.0,1,1250.0,0,0,0,1,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92,0.11,0,0.0,2,1200.0,1,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92,0.11,0,0.0,2,1200.0,1,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92,0.12,0,0.0,2,1000.0,1,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92,0.12,0,0.0,2,1000.0,1,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.58,0.12,0,0.0,2,1300.0,0,0,0,1,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.58,0.12,0,0.0,2,1300.0,0,0,0,1,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,84.58,0.11,0,0.0,1,1100.0,0,0,0,1,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,84.58,0.11,0,0.0,1,1100.0,0,0,0,1,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,10.0,7.75,84.33,0.0,0,0.0,4,1275.0,0,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,10.0,7.75,84.33,0.0,0,0.0,4,1275.0,0,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,10.0,7.92,84.33,0.02,0,0.0,2,1050.0,0,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,10.0,7.92,84.33,0.02,0,0.0,2,1050.0,0,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,7.75,7.5,7.58,7.5,7.75,7.5,10.0,10.0,10.0,7.58,83.17,0.12,0,0.0,3,1000.0,0,0,0,1,0,0,0,0,0,0,90033.33
1905.6708,0.833,7.75,7.5,7.58,7.5,7.75,7.5,10.0,10.0,10.0,7.58,83.17,0.12,0,0.0,3,1000.0,0,0,0,1,0,0,0,0,0,0,90033.33
1905.6708,0.833,7.58,7.75,7.67,7.5,7.67,7.58,10.0,10.0,10.0,7.42,83.17,0.02,0,0.0,2,900.0,0,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,7.58,7.75,7.67,7.5,7.67,7.58,10.0,10.0,10.0,7.42,83.17,0.02,0,0.0,2,900.0,0,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,7.58,7.5,7.33,7.75,7.5,7.5,10.0,10.0,10.0,7.42,82.58,0.0,0,0.0,4,975.0,0,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,7.58,7.5,7.33,7.75,7.5,7.5,10.0,10.0,10.0,7.42,82.58,0.0,0,0.0,4,975.0,0,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,7.33,7.67,7.25,7.5,7.5,7.25,10.0,10.0,10.0,7.33,81.83,0.02,0,0.0,2,925.0,0,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,7.33,7.67,7.25,7.5,7.5,7.25,10.0,10.0,10.0,7.33,81.83,0.02,0,0.0,2,925.0,0,0,0,0,0,0,0,0,0,0,90033.33
1905.6708,0.833,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.83,83.83,0.12,0,0.0,3,1250.0,0,0,0,1,0,0,0,0,0,0,90033.33
1905.6708,0.833,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.83,83.83,0.12,0,0.0,3,1250.0,0,0,0,1,0,0,0,0,0,0,90033.33
1639.0797,1.067,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.0,0.12,0,0.0,3,1100.0,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.0,0.12,0,0.0,3,1100.0,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,7.67,84.17,0.11,0,0.0,3,1038.5,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,7.67,84.17,0.11,0,0.0,3,1038.5,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,2,1100.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,83.58,0.12,0,0.0,2,1100.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.75,7.67,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.25,0.11,0,0.0,1,1200.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.75,7.67,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.25,0.11,0,0.0,1,1200.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.75,7.67,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,83.17,0.12,0,0.0,1,1000.0,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.75,7.67,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,83.17,0.12,0,0.0,1,1000.0,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.92,7.58,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,83.17,0.11,0,0.0,4,950.0,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.92,7.58,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,83.17,0.11,0,0.0,4,950.0,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.67,7.42,7.33,7.67,7.5,7.5,10.0,10.0,10.0,7.42,82.5,0.0,0,0.0,4,1250.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.67,7.42,7.33,7.67,7.5,7.5,10.0,10.0,10.0,7.42,82.5,0.0,0,0.0,4,1250.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.58,7.67,7.33,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.42,0.12,0,0.0,1,1000.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.58,7.67,7.33,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.42,0.12,0,0.0,1,1000.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.58,7.5,7.42,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.33,0.12,0,0.0,2,1100.0,1,0,0,0,0,0,0,0,0,0,89352.94
